,date,target,insult,tweet
2687,6/15/2017,hillary-clinton,Crooked,"Crooked H destroyed phones w/ hammer, 'bleached' emails, & had husband meet w/AG days before she was cleared- & they talk about obstruction?"
2688,6/15/2017,trump-russia,phony,"They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice"
2689,6/15/2017,the-media,made up a phony collusion with the Russians story,"They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice"
2690,6/16/2017,investigations-of-trump-presidency,Witch Hunt,I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt
2691,6/16/2017,trump-russia,Sad!,"After 7 months of investigations & committee hearings about my ""collusion with the Russians,"" nobody has been able to show any proof. Sad!"
2692,6/16/2017,trump-russia,phony,"Despite the phony Witch Hunt going on in America, the economic & jobs numbers are great. Regulations way down, jobs and enthusiasm way up!"
2693,6/16/2017,trump-russia,Witch Hunt,"Despite the phony Witch Hunt going on in America, the economic & jobs numbers are great. Regulations way down, jobs and enthusiasm way up!"
2694,6/16/2017,the-media,Fake,The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them
2695,6/16/2017,the-media,hates when I use what has turned out to be my very powerful Social Media,The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them
2696,6/18/2017,investigations-of-trump-presidency,distraction,"The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm,.."
2697,6/18/2017,investigations-of-trump-presidency,Witch Hunt,"The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm,.."
2698,6/19/2017,jon-ossoff,can't even vote in the district he wants to represent,Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent....
2699,6/19/2017,jon-ossoff,doesn't live there!,"....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel."
2700,6/19/2017,jon-ossoff,wants to raise taxes & kill healthcare,"....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel."
2701,6/19/2017,democrats,"want to stop tax cuts, good healthcare and Border Security","The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H"
2702,6/19/2017,democrats,Their ObamaCare is dead,"The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H"
2703,6/19/2017,obamacare,dead,"The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H"
2704,6/20/2017,jon-ossoff,wants to raise your taxes to the highest level,"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district."
2705,6/20/2017,jon-ossoff,weak on crime and security,"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district."
2706,6/20/2017,jon-ossoff,doesn't even live in district,"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district."
2707,6/20/2017,democrats,want to raise taxes big!,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R"""
2708,6/20/2017,democrats,can only obstruct,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R"""
2709,6/20/2017,democrats,no ideas,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R"""
2710,6/20/2017,obamacare,dead,"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R"""
2711,6/21/2017,democrats,would do much better as a party if they got together with Republicans,"Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work!"
2712,6/21/2017,democrats,Obstruction,"Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work!"
2713,6/21/2017,the-media,Fake News,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News, all the money spent = 0"
2714,6/22/2017,mexico,just ranked the second deadliest country in the world,"Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!"
2715,6/22/2017,investigations-of-trump-presidency,a big Dem HOAX!,...Why did Democratic National Committee turn down the DHS offer to protect against hacks (long prior to election). It's all a big Dem HOAX!
2716,6/22/2017,investigations-of-trump-presidency,a big Dem scam,"...Why did the DNC REFUSE to turn over its Server to the FBI, and still hasn't? It's all a big Dem scam and excuse for losing the election!"
2717,6/22/2017,chuck-schumer,Cryin' Chuck,I certainly hope the Democrats do not force Nancy P out. That would be very bad for the Republican Party - and please let Cryin' Chuck stay!
2718,6/24/2017,obamacare,broken,I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!
2719,6/25/2017,bernie-sanders,Crazy,Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!
2720,6/25/2017,hillary-clinton,colluded,Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!
